file,coluymn,values
07_generate_nhse_eng_inpat.R,acscflag,"""0 = Episode does not contain a diagnosis that is ambulatory sensitive care"", ""1 = Episode contains a diagnosis that is ambulatory care sensitive"""
07_generate_nhse_eng_inpat.R,admimeth,"""-999 = Suppressed"", ""11 = Waiting list. A Patient admitted electively from a waiting list having been given no date of admission at a time a decision was made to admit (Elective Admission when the decision to admit could be separated in time from the actual admission)"", ""12 = Booked. A Patient admitted having been given a date at the time the decision to admit was made determined mainly on the grounds of resource availability (Elective Admission when the decision to admit could be separated in time from the actual admission)"", ""13 = Planned. A Patient admitted having been given a date or approximate date at the time that the decision to admit was made. This is usually part of a planned sequence of clinical care determined mainly on social or clinical criteria (e.g. check cystoscopy). A planned admission is one where the date of admission is determined by the needs of the treatment rather than by the availability of resources. (Elective Admission when the decision to admit could be separated in time from the actual admission)"", ""21 = Emergency Care Department or acute or emergency dental service (Emergency Admission when admission is unpredictable and at short notice because of clinical need)"", ""22 = General Practitioner: after a request for immediate admission has been made direct to a Hospital Provider i.e not through a Bed bureau by a GP or deputy (Emergency Admission when admission is unpredictable and at short notice because of clinical need)"", ""23 = Bed bureau (Emergency Admission when admission is unpredictable and at short notice because of clinical need)"", ""24 = Conculstant Clinic of this or another Health Care Provider (Emergency Admission when admission is unpredictable and at short notice because of clinical need)"", ""28 = Other means examples are:- admited from the Accident and Emergency Department of another provider where they had not been admited- transfer of an admitted PATIENT from another Hospital Provider in an emergency- baby born at home as intended (retired on 2022-23) (Emergency Admission when admission is unpredictable and at short notice because of clinical need)"", ""2A = Emergency Care Department of another provider where the patient had not been admitted (available from 2013/14)  (Emergency Admission when admission is unpredictable and at short notice because of clinical need)"", ""2B = Transfer of an admitted patient from another Hospital Provider in an mergency (available from 2013/14)  (Emergency Admission when admission is unpredictable and at short notice because of clinical need)"",""2D = Other emergency admission (available from 2013/14)  (Emergency Admission when admission is unpredictable and at short notice because of clinical need)"", ""31 = Admitted ante-partum (Maternity Admission of a pregnant or recently pregnant woman to a maternity ward (including delivery facilities) exceptr when the intention is to terminate the pregnancy)"" [~15%], ""32 =Admitted post-partum (Maternity Admission of a pregnant or recently pregnant woman to a maternity was (including delivery facilities) except when the intention is to terminate the pregnancy)"", ""81 = Transfer of any admitted patient from other Hospital Provider other than in an emergency (Other Admission not specified above)"", ""82 = The birth of a baby in this Health Care Provider (Other Admission not specified above)"", ""89 = HSPH Admission Waiting List of a High Security Psychiatric Hospital (available between 1999 and 2006) (Other Admission not specified above)"", ""98 = Not applicable (available from 1996/97) (Other Admission not specified above)"", ""99 = Method of admission not known  (Other Admission not specified above)"""
07_generate_nhse_eng_inpat.R,admisorc,"""19 = The usual place of residence unless listed below for example a private dwelling whether owner occupied or owner by Local Authority housing association or other landlord. This includes wardened accommodation but not residential accommodation where health care is provided. It also included patients with no fixed abode.""*, ""51 = NHS other hospital provider: ward for general patients or the younger physically disabled or Emergency and Care dpeartment"", ""29 = Temporary place of residence when usually resident elsewhere for example hotels and residential educational establishments"", ""99 = Admission source Not known"", ""52 = NHS other hospital provider: ward for maternity patients or neonates"", ""87 = Independent Sector Healthcare Provider run hospital"", ""53 = NHS other hospital provider: ward for patients who are mentally ill or have learning disabilities"", ""-999 = Suppresed"", ""98 = Not applicable"", ""88 = Hospice"", ""55 = Care Home with Nursing"", ""56 = Care Home without Nursing"", ""79 = Babies born in or on the way to hospital"", ""65 = Local authority residential accommodation i.e. where care is provided (retired in 2022-23)"", ""85 = Non-NHS (other than local authority) run care home (retired in 2022-23)"", ""54 = NHS run care home (retired in 2022-23)"", ""66 = Local authority foster care but not in residential accommodation i.e. where care is provided"", ""89 =Non-NHS institution (1989-90 to 1995-96)"", ""69 = Local authority home or care (1989-90 to 1995-96)"", ""86 = Non-NHS (other than local authority) run nursing home"", ""30 = Repatriatrion from high security psychiatric hospital (1999-00 to 2006-07)"" [0 people]"
07_generate_nhse_eng_inpat.R,aekey,either Null or 12 digit random number
07_generate_nhse_eng_inpat.R,bedyear,"""Null = Not applicable (other maternity event / not know)"" [0 people have this]"
07_generate_nhse_eng_inpat.R,carersi,"""01 = Yes - Carer support is available"", ""02 = No - Carer support is not available"", ""99 = Not known""*"
07_generate_nhse_eng_inpat.R,classpat,"""1 = Ordinary admission""*, ""2 = Day case admission""*, ""3 = Regular day attender"", "" 4 = Regular night attender"", ""5 = Mothes and babies using only delivery facilities"",""8 = Not applicable (other maternity event)"", "" 9 = Not known"""
07_generate_nhse_eng_inpat.R,disdate,date between 1993-01-01 to 2026-12-31
07_generate_nhse_eng_inpat.R,disdest,"""19 = The usual place of residence including no fixed abode.""*, ""51 = NHS other hospital provider - ward for general PATIENTS or the younger physically disabled"", ""29 = Temporary place of residence when usually resident elsewhere for example hotels and residential educational establishments"", ""99 = Destination of Discharge Not known"", ""52 = NHS other hospital provider - ward for maternity PATIENTS or Neonates"", ""87 = Independent Sector Healthcare Provider run hospital - excluding medium secure unit"", ""53 = NHS other hospital provider - ward for PATIENTS who are mentally ill or have learning disabilities"", ""-999 = Suppresed"", ""98 = Not applicable - Hospital Provider Spell not finished at episode end"", ""88 = Hospice"", ""55 = Care Home with Nursing"", ""56 = Care Home without Nursing"", ""79 = Babies born in or on the way to hospital"", ""65 = Local authority residential accommodation i.e. where care is provided (retired in 2022-23)"", ""85 = Non-NHS (other than local authority) run care home (retired in 2022-23)"", ""54 = NHS run care home (retired in 2022-23)"", ""66 = Local authority foster care but not in residential accommodation i.e. where care is provided"", ""89 =Non-NHS institution (1989-90 to 1995-96)"", ""69 = Local authority home or care (1989-90 to 1995-96)"", ""86 = Non-NHS (other than local authority) run nursing home"", ""30 = Repatriatrion from high security psychiatric hospital (1999-00 to 2006-07)"", ""79 = PATIENT died or still birth"", ""37 = Penal estabilishment - court (from 1999-2000)"", ""84 = Independent Sector Healthcare Provider run hospital - medium secure unit"", ""89 = ORGANISATION responsible for forced repatriation"""
07_generate_nhse_eng_inpat.R,dismeth,"""1 = Patient discharged on clinical advice or with clinical consent""*, ""2 = Patient discharged him/herself or was discharged by a relative or advocate (retired 2022-23)"", ""3 = Patient discharged by a mental health review tribunal Home Secretary or Court"", ""4 = Patient died"", ""5 = Stillbirth"", ""6 = Patient discharged himself/herself (available from 2022-23)"", ""7 = Patient discharged by a relative or advocate (available from 2022-23)"", ""8 = Not applicable - Hospital Provider Spell not finished at episode end (i.e. not discharged) or current episode unfinished"", ""9 = Method of Discharge Not Known"""
